url,label
https://www.bfgnet.icu/auth/register,CloudflareDefenseV2
https://www.heygg.com/auth/register,CloudflareDefenseV2
https://yuko.work/auth/register,CloudflareDefenseV2
https://gflink.net/auth/register,Email Validation
https://oceancloud.asia/auth/register,Email Validation
https://worldnod.com/auth/register,Email Validation
https://cesmax.com/auth/register,Email Validation
https://znetvpn.xyz/auth/register,Email Validation
https://g01.info/auth/register,Email Validation
https://suwebrocket.club/auth/register,Email Validation
https://xxuan2.icu/auth/register,Email Validation
https://xmrth.com/auth/register,Email Validation
https://light-up.cc/auth/register,Email Validation
https://bgpnet.org/auth/register,Email Validation
https://share.ayucloud.io/auth/register,Email Validation
https://iceyun.one/auth/register,Email Validation
https://www.gftech.cc/auth/register,Email Validation
https://52node.xyz/auth/register,Email Validation
https://www.ktyjsq.com/auth/register,Email Validation
https://matrixap.com/auth/register,Email Validation
https://www.xiaoliebao.xyz/auth/register,Email Validation
https://www.miaomiaowu114514.xyz/auth/register,Email Validation
https://renzhe.cloud/auth/register,Email Validation
https://7cc.buzz/auth/register,Email Validation
https://savier.xyz/auth/register,Email Validation
https://www.joyssr.com/auth/register,Email Validation;GeeTest Validation
https://forust.net/auth/register,Email Validation;GeeTest Validation
https://www.vvac.asia/auth/register,Email Validation;GeeTest Validation
https://dash.tail.one/auth/register,Email Validation;GeeTest Validation
https://oing.in/auth/register,GeeTest Validation
https://www.ssr99.xyz/auth/register,GeeTest Validation
https://eatpeach.top/auth/register,GeeTest Validation
https://www.mxyssr.fun/auth/register,GeeTest Validation
https://v2.hor1zon.xyz/auth/register,GeeTest Validation
https://www.paopaoyun.fun/auth/register,GeeTest Validation
https://feisucloud.net/auth/register,GeeTest Validation
https://physicxx.com/auth/register,GeeTest Validation
https://user.huojian999.com/auth/register,GeeTest Validation
https://www.sufeiyun.icu/auth/register,GeeTest Validation
https://www.jssr.cc/auth/register,GeeTest Validation
https://jike0001.net/auth/register,GeeTest Validation
https://admin.91zfdao.com/auth/register,GeeTest Validation
https://cloud.nima.ma/auth/register,GeeTest Validation
https://imust.cloud/auth/register,GeeTest Validation
